,AVERAGE,ESG LAGGARD,ESG LEADER,country,date,industry,percent_rating,rating,rating_history
IID000000002143351,Labor Management,Privacy & Data Security,"Corporate Governance,Chemical Safety,Raw Material Sourcing,Product Carbon Footprint",United Kingdom,"Apr-15,May-16,Feb-17,Mar-18,Jul-19",Retail - Consumer Discretionary,"1%,19%,22%,20%,26%,7%,5%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002144164,"Labor Management,Opportunities in Nutrition & Health,Product Safety & Quality,Product Carbon Footprint",nan,"Corporate Governance,Raw Material Sourcing",United Kingdom,"Aug-15,Aug-16,Sep-17,Sep-18,Nov-19",Retail - Food & Staples,"4%,16%,24%,15%,16%,24%,2%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002144233,"Carbon Emissions,Toxic Emissions & Waste,Water Stress",nan,"Corporate Governance,Chemical Safety,Opportunities in Clean Tech",Netherlands,"Feb-16,Feb-17,Apr-18,Nov-18,Jun-19",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AAA,AAA"
IID000000002144259,"Human Capital Development,Opportunities in Renewable Energy",nan,"Corporate Governance,Biodiversity & Land Use,Toxic Emissions & Waste,Carbon Emissions",United Kingdom,"Aug-15,Jul-16,Aug-17,Sep-18,Nov-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AAA,AAA,AAA"
IID000000002144268,"Labor Management,Opportunities in Clean Tech",Toxic Emissions & Waste,"Corporate Governance,Corruption & Instability",Sweden,"Jan-15,Jan-16,Feb-17,Mar-18,Mar-19",Industrial Machinery,"7%,11%,11%,23%,21%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002144380,"Opportunities in Nutrition & Health,Product Safety & Quality",nan,"Corporate Governance,Water Stress,Raw Material Sourcing,Product Carbon Footprint",Norway,"Nov-15,Nov-16,Nov-17,Dec-18,Nov-19",Food Products,"11%,21%,23%,21%,10%,9%,4%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002144457,Corruption & Instability,Product Safety & Quality,"Corporate Governance,Human Capital Development,Access to Health Care,Toxic Emissions & Waste",Switzerland,"Sep-16,Jul-17,Mar-18,Oct-18,Apr-19",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","A,A,BBB,BBB,BBB"
IID000000002144506,"Human Capital Development,Opportunities in Renewable Energy,Water Stress",nan,"Corporate Governance,Biodiversity & Land Use,Carbon Emissions",Austria,"Jan-19,Jan-20",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","AA,AA"
IID000000002144603,"Corporate Governance,Human Capital Development,Carbon Emissions",Product Safety & Quality,Corruption & Instability,Netherlands,"Sep-15,Sep-16,Dec-17,Dec-18,Jun-19",Health Care Equipment & Supplies,"3%,11%,24%,20%,22%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,A,A,A"
IID000000002144644,"Health & Safety,Labor Management,Opportunities in Clean Tech,Toxic Emissions & Waste",nan,Corporate Governance,Sweden,"Mar-15,Mar-16,May-17,May-18,Sep-19",Construction & Farm Machinery & Heavy Trucks,"13%,22%,9%,13%,28%,9%,6%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002144864,"Corporate Governance,Labor Management,Privacy & Data Security,Carbon Emissions",nan,nan,Netherlands,"Aug-15,Aug-16,Mar-17,Mar-18,Apr-19",Professional Services,"4%,4%,13%,13%,17%,35%,13%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,AA,AA,AA"
IID000000002145155,"Corruption & Instability,Biodiversity & Land Use",Health & Safety,"Corporate Governance,Carbon Emissions,Toxic Emissions & Waste",France,"Aug-15,Aug-16,Aug-17,Aug-18,Oct-19",Integrated Oil & Gas,"6%,19%,13%,23%,19%,10%,10%","CCC,B,BB,BBB,A,AA,AAA","BBB,A,A,A,A"
IID000000002145368,Opportunities in Renewable Energy,nan,"Corporate Governance,Biodiversity & Land Use,Human Capital Development,Toxic Emissions & Waste,Carbon Emissions",Spain,"Nov-15,Nov-16,Dec-17,Dec-18,Oct-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002145455,Carbon Emissions,nan,"Corporate Governance,Human Capital Development,Privacy & Data Security",United Kingdom,"Nov-16,Oct-17,Dec-18,Jul-19",Professional Services,"4%,4%,13%,13%,17%,35%,13%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA"
IID000000002146213,"Corporate Governance,Privacy & Data Security,Product Carbon Footprint",Labor Management,Supply Chain Labor Standards,United Kingdom,"Jun-15,May-16,Feb-17,Feb-18,Apr-19",Retail - Consumer Discretionary,"1%,19%,22%,20%,26%,7%,5%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,A,A,A"
IID000000002147336,"Chemical Safety,Toxic Emissions & Waste,Opportunities in Clean Tech",Water Stress,"Corporate Governance,Carbon Emissions",Germany,"Feb-16,Feb-17,Feb-18,Mar-19,Feb-20",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002148722,"Opportunities in Nutrition & Health,Product Safety & Quality,Water Stress,Raw Material Sourcing",nan,"Corporate Governance,Supply Chain Labor Standards,Product Carbon Footprint",Switzerland,"Nov-15,Nov-16,Nov-17,Dec-18,Dec-19",Food Products,"11%,21%,23%,21%,10%,9%,4%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AA"
IID000000002148771,"Corporate Governance,Chemical Safety,Opportunities in Nutrition & Health,Raw Material Sourcing",nan,Product Carbon Footprint,Germany,"Jun-15,Jun-16,Jul-17,Jul-18,Jun-19",Household & Personal Products,"3%,8%,11%,19%,28%,22%,8%","CCC,B,BB,BBB,A,AA,AAA","BBB,A,AA,AA,AA"
IID000000002148927,"Labor Management,Product Safety & Quality","Opportunities in Clean Tech,Toxic Emissions & Waste",Corporate Governance,Finland,"May-15,May-16,May-17,May-18,Aug-19",Auto Components,"10%,27%,20%,15%,22%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002148930,Human Capital Development,nan,"Corporate Governance,Carbon Emissions,Opportunities in Renewable Energy,Toxic Emissions & Waste,Water Stress",Portugal,"Nov-15,Nov-16,Nov-17,Nov-18,Aug-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002148933,"Corporate Governance,Product Carbon Footprint",nan,"Product Safety & Quality,Labor Management,Opportunities in Clean Tech",Germany,"Jul-16,Jul-17,Aug-17,Aug-18,Aug-19",Automobiles,"14%,21%,10%,21%,31%,2%,0%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,A,A,A"
IID000000002148934,"Corporate Governance,Labor Management,Toxic Emissions & Waste",Product Safety & Quality,Opportunities in Clean Tech,Germany,"Apr-17,Oct-17,May-18,Aug-19,Jan-20",Auto Components,"10%,27%,20%,15%,22%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BBB,BBB,BBB"
IID000000002148935,Health & Safety,nan,"Corporate Governance,Biodiversity & Land Use,Carbon Emissions,Toxic Emissions & Waste,Labor Management",Germany,"May-15,May-16,May-17,May-18,Sep-19",Construction Materials,"19%,19%,19%,19%,6%,13%,3%","CCC,B,BB,BBB,A,AA,AAA","AAA,AA,AA,AA,AA"
IID000000002149686,"Labor Management,Corruption & Instability,Toxic Emissions & Waste",Opportunities in Clean Tech,Corporate Governance,Italy,"Mar-15,Apr-16,Apr-17,Apr-18,Nov-19",Electrical Equipment,"6%,21%,33%,12%,15%,6%,6%","CCC,B,BB,BBB,A,AA,AAA","BB,BBB,BBB,BBB,A"
IID000000002149764,"Corporate Governance,Biodiversity & Land Use",Health & Safety,Corruption & Instability,Italy,"Sep-15,Oct-16,Oct-17,Aug-18,Aug-19",Transportation Infrastructure,"8%,28%,31%,15%,5%,3%,10%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,BB,BB"
IID000000002149768,"Corporate Governance,Labor Management",Product Safety & Quality,"Opportunities in Nutrition & Health,Product Carbon Footprint,Raw Material Sourcing",United Kingdom,"Aug-15,Aug-16,Sep-17,Oct-18,Nov-19",Retail - Food & Staples,"4%,16%,24%,15%,16%,24%,2%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002150860,"Labor Management,Carbon Emissions",nan,Corporate Governance,Denmark,"Mar-15,Mar-16,May-17,Oct-18,Jul-19",Air Freight & Logistics,"13%,19%,19%,6%,25%,13%,6%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002150894,nan,nan,"Corporate Governance,Biodiversity & Land Use,Health & Safety,Carbon Emissions",Spain,"Oct-15,Sep-16,Oct-17,Oct-18,Nov-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AAA,AAA,AAA"
IID000000002150938,Corruption & Instability,"Health & Safety,Labor Management","Corporate Governance,Carbon Emissions",Sweden,"Mar-15,Mar-16,Feb-17,Mar-18,Jul-19",Commercial Services & Supplies,"0%,15%,19%,23%,23%,15%,4%","CCC,B,BB,BBB,A,AA,AAA","B,B,B,BB,BB"
IID000000002151050,"Chemical Safety,Toxic Emissions & Waste,Water Stress,Opportunities in Clean Tech",Carbon Emissions,Corporate Governance,Switzerland,"Feb-16,Feb-17,Feb-18,Feb-19,Feb-20",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BB,BB,BB"
IID000000002151160,"Corporate Governance,Human Capital Development",nan,"Biodiversity & Land Use,Carbon Emissions,Opportunities in Renewable Energy,Toxic Emissions & Waste,Water Stress",Italy,"Nov-15,Aug-16,Jul-17,Aug-18,Nov-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AAA"
IID000000002151173,"Responsible Investment,Carbon Emissions",Corporate Governance,Human Capital Development,Sweden,"Feb-15,Feb-16,Feb-17,Feb-18,Jul-19",Diversified Financials,"0%,12%,14%,24%,29%,18%,2%","CCC,B,BB,BBB,A,AA,AAA","A,BBB,BBB,A,A"
IID000000002151502,"Corporate Governance,Human Capital Development,Access to Health Care,Toxic Emissions & Waste",Corruption & Instability,Product Safety & Quality,Hungary,"Sep-15,Aug-16,Sep-17,Sep-18,Jul-19",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BB,BB,BB"
IID000000002152061,"Carbon Emissions,Toxic Emissions & Waste",nan,"Corporate Governance,Chemical Safety,Water Stress,Opportunities in Clean Tech",United Kingdom,"Mar-15,Feb-16,Mar-17,May-18,Oct-19",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002152063,"Corporate Governance,Labor Management,Opportunities in Clean Tech,Toxic Emissions & Waste",nan,Product Safety & Quality,Italy,"Apr-18,Sep-19",Auto Components,"10%,27%,20%,15%,22%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","A,A"
IID000000002152393,"Corporate Governance,Human Capital Development,Opportunities in Clean Tech,Carbon Emissions",nan,Privacy & Data Security,United Kingdom,"May-16,Mar-17,May-17,May-18,Sep-19",Software & Services,"1%,9%,18%,28%,25%,15%,4%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,A"
IID000000002152916,"Corporate Governance,Carbon Emissions,Toxic Emissions & Waste",nan,"Chemical Safety,Water Stress,Opportunities in Clean Tech",Denmark,"Mar-15,Feb-16,Feb-17,Jun-18,Jun-19",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002153232,"Corporate Governance,Labor Management,Product Carbon Footprint,Opportunities in Clean Tech",Product Safety & Quality,nan,Germany,"Oct-15,Jul-16,Jul-17,Aug-18,Sep-19",Automobiles,"14%,21%,10%,21%,31%,2%,0%","CCC,B,BB,BBB,A,AA,AAA","CCC,CCC,CCC,CCC,CCC"
IID000000002153816,"Corporate Governance,Human Capital Development,Privacy & Data Security,Carbon Emissions",nan,nan,Switzerland,"Aug-16,Mar-17,Oct-17,Oct-18,Nov-19",Professional Services,"4%,4%,13%,13%,17%,35%,13%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002153893,Privacy & Data Security,nan,"Corporate Governance,Human Capital Development,Raw Material Sourcing",Norway,"Apr-15,Feb-16,Mar-17,Mar-18,Sep-19",Media & Entertainment,"8%,23%,21%,23%,14%,8%,4%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,AA,AA"
IID000000002153910,Carbon Emissions,nan,"Corporate Governance,Privacy & Data Security,Labor Management,Corruption & Instability,Access to Communication",Norway,"Feb-16,Feb-17,Feb-18,Feb-19,Feb-20",Telecommunication Services,"2%,9%,22%,16%,27%,15%,9%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002153923,"Corporate Governance,Supply Chain Labor Standards","Labor Management,Product Safety & Quality","Opportunities in Nutrition & Health,Product Carbon Footprint,Raw Material Sourcing",United Kingdom,"Sep-15,Sep-16,Aug-17,Jun-18,Sep-19",Retail - Food & Staples,"4%,16%,24%,15%,16%,24%,2%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,A,AA"
IID000000002153954,nan,Labor Management,"Corporate Governance,Opportunities in Clean Tech,Chemical Safety,Controversial Sourcing",Switzerland,"Apr-16,Apr-17,May-18,Mar-19,Feb-20","Electronic Equipment, Instruments & Components","8%,27%,17%,19%,21%,7%,1%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,A"
IID000000002155484,"Corporate Governance,Corruption & Instability,Health & Safety,Opportunities in Clean Tech",nan,nan,Spain,"Apr-15,Apr-16,Jul-17,Aug-18,Nov-19",Construction & Engineering,"16%,42%,3%,5%,13%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BBB,A,A"
IID000000002155810,nan,Opportunities in Clean Tech,"Corporate Governance,Human Capital Development",Netherlands,"Jan-16,Jan-17,Jan-18,Mar-19,Feb-20",Semiconductors & Semiconductor Equipment,"9%,21%,21%,21%,14%,11%,4%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AA,AAA,AAA"
IID000000002156536,"Corporate Governance,Opportunities in Clean Tech",nan,"Carbon Emissions,Chemical Safety,Toxic Emissions & Waste,Water Stress",Netherlands,"Mar-15,Mar-16,May-17,May-18,May-19",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002156720,"Opportunities in Clean Tech,Toxic Emissions & Waste",nan,"Corporate Governance,Corruption & Instability,Labor Management",Sweden,"Jan-15,Jan-16,Feb-17,Mar-18,Aug-19",Industrial Machinery,"7%,11%,11%,23%,21%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002157430,"Corruption & Instability,Labor Management",Toxic Emissions & Waste,"Corporate Governance,Opportunities in Clean Tech",Austria,"Feb-17,Apr-17,Mar-18,Mar-19,Feb-20",Industrial Machinery,"7%,11%,9%,25%,20%,22%,5%","CCC,B,BB,BBB,A,AA,AAA","BBB,A,A,AA,AA"
IID000000002157540,"Corporate Governance,Toxic Emissions & Waste,Biodiversity & Land Use,Water Stress",nan,"Corruption & Instability,Health & Safety,Labor Management,Carbon Emissions",United Kingdom,"Nov-15,Dec-16,Dec-17,Dec-18,Dec-19",Metals and Mining - Non-Precious Metals,"16%,26%,22%,12%,19%,3%,2%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002157753,"Biodiversity & Land Use,Carbon Emissions,Toxic Emissions & Waste,Water Stress",Labor Management,"Corporate Governance,Health & Safety",Luxembourg,"Nov-15,Nov-16,Nov-17,Nov-18,Dec-19",Steel,"35%,24%,5%,16%,11%,8%,0%","CCC,B,BB,BBB,A,AA,AAA","B,B,B,B,BB"
IID000000002158011,"Corruption & Instability,Opportunities in Clean Tech",nan,"Corporate Governance,Health & Safety",United Kingdom,"May-15,Jun-16,Jun-17,Jun-18,Oct-19",Trading Companies & Distributors,"5%,5%,10%,40%,25%,10%,5%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002158166,"Product Safety & Quality,Corruption & Instability",nan,"Corporate Governance,Human Capital Development,Access to Health Care,Toxic Emissions & Waste",United Kingdom,"Sep-15,Sep-16,Sep-17,Oct-18,Nov-19",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002158257,"Corporate Governance,Labor Management,Opportunities in Clean Tech,Toxic Emissions & Waste",nan,Corruption & Instability,Sweden,"Jan-16,Feb-17,Sep-17,Mar-18,Apr-19",Industrial Machinery,"7%,11%,11%,23%,21%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002158274,"Opportunities in Clean Tech,Carbon Emissions",nan,"Corporate Governance,Human Capital Development,Privacy & Data Security",France,"May-15,May-16,May-17,May-18,Aug-19",Software & Services,"1%,9%,18%,28%,25%,15%,4%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AAA,AAA,AAA"
IID000000002158501,"Corporate Governance,Human Capital Development,Privacy & Data Security,Carbon Emissions",Opportunities in Clean Tech,nan,United Kingdom,"May-15,Jul-16,Jul-17,Jul-18,Sep-19",Software & Services,"1%,9%,18%,28%,25%,15%,4%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,A,A,BBB"
IID000000002158653,"Toxic Emissions & Waste,Water Stress,Corruption & Instability",Chemical Safety,"Corporate Governance,Carbon Emissions,Opportunities in Clean Tech",Germany,"Jun-15,Jun-16,Aug-17,Aug-18,Aug-19",Diversified Chemicals,"0%,0%,44%,13%,25%,6%,13%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002159897,nan,"Corporate Governance,Corruption & Instability,Labor Management","Privacy & Data Security,Carbon Emissions",France,"Oct-15,Sep-16,Sep-17,Sep-18,Dec-19",Media & Entertainment,"8%,23%,21%,23%,14%,8%,4%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BB,B,B"
IID000000002160167,"Corporate Governance,Product Safety & Quality,Water Stress,Supply Chain Labor Standards",nan,Chemical Safety,United Kingdom,"Dec-15,Oct-16,Nov-17,Nov-18,Nov-19",Tobacco,"17%,0%,25%,25%,8%,25%,0%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,A,A,BBB"
IID000000002160173,"Opportunities in Green Building,Human Capital Development",nan,"Corporate Governance,Health & Safety",United Kingdom,"Aug-17,Aug-18,Oct-19",Real Estate Management & Services,"1%,16%,13%,24%,20%,16%,10%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA"
IID000000002160303,Supply Chain Labor Standards,nan,"Corporate Governance,Labor Management,Chemical Safety,Raw Material Sourcing,Product Carbon Footprint",United Kingdom,"Sep-15,Sep-16,Aug-17,Aug-18,Sep-19","Textiles, Apparel & Luxury Goods","3%,11%,27%,22%,11%,14%,14%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AAA"
IID000000002161102,"Water Stress,Packaging Material & Waste,Product Carbon Footprint",nan,"Corporate Governance,Product Safety & Quality,Health & Safety",Denmark,"Jun-15,Jun-16,Jun-17,Jul-18,Dec-19",Beverages,"6%,25%,15%,10%,21%,17%,6%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002161115,"Product Safety & Quality,Carbon Emissions","Labor Management,Toxic Emissions & Waste","Corporate Governance,Water Stress",United Kingdom,"Sep-15,Aug-16,Apr-17,May-18,Sep-19",Hotels & Travel,"16%,16%,16%,21%,5%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","CCC,CCC,CCC,CCC,CCC"
IID000000002162171,"Carbon Emissions,Chemical Safety,Toxic Emissions & Waste,Water Stress",nan,"Corporate Governance,Opportunities in Clean Tech",Switzerland,"Mar-16,Mar-17,Feb-18,Feb-19,Feb-20",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002162545,"Corporate Governance,Chemical Safety,Controversial Sourcing,Labor Management,Raw Material Sourcing",nan,Product Carbon Footprint,Switzerland,"Sep-15,Sep-16,Aug-17,Aug-18,Nov-19","Textiles, Apparel & Luxury Goods","3%,11%,27%,22%,11%,14%,14%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AA"
IID000000002162627,"Product Safety & Quality,Labor Management,Carbon Emissions",nan,"Corporate Governance,Opportunities in Nutrition & Health,Raw Material Sourcing",United Kingdom,"Sep-15,Sep-16,Jun-17,Jun-18,Mar-19",Restaurants,"0%,18%,29%,41%,12%,0%,0%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,A,A,A"
IID000000002163125,"Toxic Emissions & Waste,Opportunities in Clean Tech",nan,"Corporate Governance,Carbon Emissions,Chemical Safety,Water Stress",United Kingdom,"Feb-15,Mar-16,Feb-17,Apr-18,Oct-19",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","AA,AAA,AAA,AAA,AAA"
IID000000002163566,"Corporate Governance,Product Safety & Quality",Product Carbon Footprint,"Labor Management,Opportunities in Clean Tech",Germany,"Jul-16,Jul-17,Aug-17,Aug-18,Jun-19",Automobiles,"14%,21%,10%,21%,31%,2%,0%","CCC,B,BB,BBB,A,AA,AAA","A,A,BBB,BBB,BBB"
IID000000002163947,"Corporate Governance,Carbon Emissions,Labor Management",nan,Health & Safety,Germany,"Oct-15,Sep-16,Sep-17,Sep-18,Aug-19",Air Freight & Logistics,"13%,19%,19%,6%,25%,13%,6%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AA"
IID000000002163952,"Corporate Governance,Access to Communication,Carbon Emissions",Labor Management,"Privacy & Data Security,Corruption & Instability",Germany,"Feb-16,Feb-17,Feb-18,Feb-19,Feb-20",Telecommunication Services,"2%,9%,22%,16%,27%,15%,9%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002164477,"Corporate Governance,Labor Management",Product Carbon Footprint,Privacy & Data Security,Switzerland,"May-15,Apr-16,Feb-17,Feb-18,Jun-19",Retail - Consumer Discretionary,"1%,19%,22%,20%,26%,7%,5%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,A"
IID000000002164704,"Corporate Governance,Corruption & Instability,Biodiversity & Land Use,Health & Safety,Toxic Emissions & Waste",nan,Carbon Emissions,Italy,"Aug-15,Aug-16,Jul-17,Aug-18,Nov-19",Integrated Oil & Gas,"6%,19%,13%,23%,19%,10%,10%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,A"
IID000000002165080,nan,"Controversial Sourcing,Electronic Waste","Corporate Governance,Supply Chain Labor Standards",Sweden,"Dec-15,Dec-16,Aug-17,Aug-18,Jun-19",Household Durables,"4%,7%,29%,11%,21%,21%,7%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,AA,AA"
IID000000002165151,"Labor Management,Corruption & Instability,Carbon Emissions","Privacy & Data Security,Access to Communication",Corporate Governance,Finland,"Feb-16,Feb-17,Feb-18,Feb-19,Feb-20",Telecommunication Services,"2%,9%,22%,16%,27%,15%,9%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,AA"
IID000000002165914,Carbon Emissions,"Financial Product Safety,Privacy & Data Security","Corporate Governance,Human Capital Development",Ireland,"Aug-15,Aug-16,Apr-17,Apr-18,Oct-19",Professional Services,"4%,4%,13%,13%,17%,35%,13%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,A,A,AA"
IID000000002166466,"Corporate Governance,Corruption & Instability,Product Safety & Quality",Labor Management,Opportunities in Clean Tech,Italy,"Dec-15,Nov-16,Dec-17,Dec-18,Sep-19",Aerospace & Defense,"23%,8%,18%,18%,20%,13%,3%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BB,BBB,BBB"
IID000000002166952,nan,nan,"Corporate Governance,Corruption & Instability,Biodiversity & Land Use,Health & Safety",Germany,"Sep-15,Oct-16,Oct-17,Oct-18,Sep-19",Transportation Infrastructure,"8%,28%,31%,15%,5%,3%,10%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002166989,"Privacy & Data Security,Carbon Emissions","Corruption & Instability,Product Safety & Quality,Labor Management",Corporate Governance,Germany,"May-15,May-16,May-17,Jun-18,Jun-19",Health Care Providers & Services,"5%,7%,17%,40%,19%,10%,2%","CCC,B,BB,BBB,A,AA,AAA","B,B,BB,BB,BB"
IID000000002167172,nan,"Corruption & Instability,Health & Safety,Labor Management","Corporate Governance,Carbon Emissions",United Kingdom,"Dec-15,Nov-16,Feb-17,Mar-18,Mar-19",Commercial Services & Supplies,"0%,15%,19%,23%,23%,15%,4%","CCC,B,BB,BBB,A,AA,AAA","B,B,B,B,B"
IID000000002167383,Corporate Governance,nan,"Corruption & Instability,Biodiversity & Land Use,Carbon Emissions,Health & Safety,Toxic Emissions & Waste",Portugal,"Aug-15,Aug-16,Jul-17,Jul-18,Oct-19",Integrated Oil & Gas,"6%,19%,13%,23%,19%,10%,10%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AAA,AAA"
IID000000002167778,"Chemical Safety,Opportunities in Clean Tech",nan,"Corporate Governance,Carbon Emissions,Toxic Emissions & Waste,Water Stress",Switzerland,"Feb-16,Feb-17,Oct-17,Oct-18,Jun-19",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AAA,AAA,AAA"
IID000000002167800,"Corruption & Instability,Human Capital Development",Product Safety & Quality,"Corporate Governance,Access to Health Care,Toxic Emissions & Waste",United Kingdom,"Sep-15,Sep-16,Jul-17,Sep-18,Sep-19",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,A"
IID000000002168620,Product Safety & Quality,Access to Health Care,"Corporate Governance,Corruption & Instability,Human Capital Development,Toxic Emissions & Waste",Denmark,"Oct-16,Oct-17,Nov-18,Jun-19",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A"
IID000000002168831,"Opportunities in Nutrition & Health,Product Safety & Quality,Product Carbon Footprint",nan,"Corporate Governance,Labor Management,Raw Material Sourcing",Sweden,"Aug-15,Sep-16,Aug-17,Aug-18,Aug-19",Retail - Food & Staples,"4%,16%,24%,15%,16%,24%,2%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
